Components,Flap Side,Size,Stock,Printing,Sheets,Pages,Gusset,,description
Paper envelop OE,"7.5"" or 7"" or 6.5""","7.5"" x 4"" or 7"" x 4.75"" or 6.5"" x 4.75""",100gsm uncoated,"2c or 4c, closed face",-,-,-,,Check Label cost for keychain in label sheet
Paper envelop OE,"7.5"" or 7"" or 6.5""","7.5"" x 4"" or 7"" x 4.75"" or 6.5"" x 4.75""",100gsm recycled uncoated,"2c or 4c, closed face",-,-,-,,Perso price is different in all component so if calculator pick price by unique name can cause error.
Paper envelop OE,"7.5"" or 7"" or 6.5""","7.5"" x 4"" or 7"" x 4.75"" or 6.5"" x 4.75""",100gsm FSC uncoated,"2c or 4c, closed face",-,-,-,,In Magnet with Paper Cover unit price is strike out so which price we need to consider
Paper envelop OE,"7.5"" or 7"" or 6.5""","7.5"" x 4"" or 7"" x 4.75"" or 6.5"" x 4.75""",120gsm uncoated,"2c or 4c, closed face",-,-,-,,NP is also have Strike out unit pride check 
Paper envelop OE,"7.5"" or 7"" or 6.5""","7.5"" x 4"" or 7"" x 4.75"" or 6.5"" x 4.75""",105gsm C2S,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"7.5"" or 7"" or 6.5""","7.5"" x 4"" or 7"" x 4.75"" or 6.5"" x 4.75""",80gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"7.5"" or 7"" or 6.5""","7.5"" x 4"" or 7"" x 4.75"" or 6.5"" x 4.75""",100gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"7.5"" or 7"" or 6.5""","7.5"" x 4"" or 7"" x 4.75"" or 6.5"" x 4.75""",120gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.5"" or 9"" or 8.5""","9.5"" x 4.5"" or 9"" x 4.5"" or 8.5"" x 4.5"" or 9.06"" x 4.72""",100gsm uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.5"" or 9"" or 8.5""","9.5"" x 4.5"" or 9"" x 4.5"" or 8.5"" x 4.5"" or 9.06"" x 4.72""",100gsm recycled uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.5"" or 9"" or 8.5""","9.5"" x 4.5"" or 9"" x 4.5"" or 8.5"" x 4.5"" or 9.06"" x 4.72""",100gsm FSC uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.5"" or 9"" or 8.5""","9.5"" x 4.5"" or 9"" x 4.5"" or 8.5"" x 4.5"" or 9.06"" x 4.72""",105gsm C2S,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.5"" or 9"" or 8.5""","9.5"" x 4.5"" or 9"" x 4.5"" or 8.5"" x 4.5"" or 9.06"" x 4.72""",128gsm C2S,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.5"" or 9"" or 8.5""","9.5"" x 4.5"" or 9"" x 4.5"" or 8.5"" x 4.5"" or 9.06"" x 4.72""",140gsm C2S,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.5"" or 9"" or 8.5""","9.5"" x 4.5"" or 9"" x 4.5"" or 8.5"" x 4.5"" or 9.06"" x 4.72""",80gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.5"" or 9"" or 8.5""","9.5"" x 4.5"" or 9"" x 4.5"" or 8.5"" x 4.5"" or 9.06"" x 4.72""",100gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.5"" or 9"" or 8.5""","9.5"" x 4.5"" or 9"" x 4.5"" or 8.5"" x 4.5"" or 9.06"" x 4.72""",120gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"12.6""","12.6"" x 4.73"" ",100gsm uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"10.5""","10.5"" x 5"" or 10.5"" x 4.5""",100gsm uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"10.5""","10.5"" x 5"" or 10.5"" x 4.5""",80gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"10.5""","10.5"" x 5"" or 10.5"" x 4.5""",100gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"10.5""","10.5"" x 5"" or 10.5"" x 4.5""",120gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.25"" or 9"" or 8""","9.25"" x 6"" or 9"" x 6"" or 8"" x 6"" or 9.5"" x 6.5""",100gsm uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.25"" or 9"" or 8""","9.25"" x 6"" or 9"" x 6"" or 8"" x 6"" or 9.5"" x 6.5""",100gsm recycled uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.25"" or 9"" or 8""","9.25"" x 6"" or 9"" x 6"" or 8"" x 6"" or 9.5"" x 6.5""",100gsm FSC uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.25"" or 9"" or 8""","9.25"" x 6"" or 9"" x 6"" or 8"" x 6"" or 9.5"" x 6.5""",120gsm uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.25"" or 9"" or 8""","9.25"" x 6"" or 9"" x 6"" or 8"" x 6"" or 9.5"" x 6.5""",140gsm uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.25"" or 9"" or 8""","9.25"" x 6"" or 9"" x 6"" or 8"" x 6"" or 9.5"" x 6.5""",105gsm C2S,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.25"" or 9"" or 8""","9.25"" x 6"" or 9"" x 6"" or 8"" x 6"" or 9.5"" x 6.5""",105gsm recycled C2S,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.25"" or 9"" or 8""","9.25"" x 6"" or 9"" x 6"" or 8"" x 6"" or 9.5"" x 6.5""",105gsm FSC C2S,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.25"" or 9"" or 8""","9.25"" x 6"" or 9"" x 6"" or 8"" x 6"" or 9.5"" x 6.5""",115gsm C2S,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.25"" or 9"" or 8""","9.25"" x 6"" or 9"" x 6"" or 8"" x 6"" or 9.5"" x 6.5""",128gsm C2S,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.25"" or 9"" or 8""","9.25"" x 6"" or 9"" x 6"" or 8"" x 6"" or 9.5"" x 6.5""",80gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.25"" or 9"" or 8""","9.25"" x 6"" or 9"" x 6"" or 8"" x 6"" or 9.5"" x 6.5""",100gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.25"" or 9"" or 8""","9.25"" x 6"" or 9"" x 6"" or 8"" x 6"" or 9.5"" x 6.5""",120gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.25"" or 9"" or 8""","9.25"" x 6"" or 9"" x 6"" or 8"" x 6"" or 9.5"" x 6.5""",100gsm white kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"6""","6"" x 8"" or 6"" x 9"" or 6"" x 9.25""",100gsm uncoated,"2c or 4c, closed face ",-,-,-,,
Paper envelop OE,"6""","6"" x 8"" or 6"" x 9"" or 6"" x 9.25""",100gsm recycled uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"6""","6"" x 8"" or 6"" x 9"" or 6"" x 9.25""",100gsm FSC uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"11""","11"" x 6""",100gsm uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"11""","11"" x 6""",100gsm recycled uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"11""","11"" x 6""",100gsm FSC uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"11""","11"" x 6""",120gsm uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"11""","11"" x 6""",140gsm uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"11""","11"" x 6""",105gsm C2S,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"11""","11"" x 6""",80gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"11""","11"" x 6""",100gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"11""","11"" x 6""",120gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"6""","6"" x 11"" (by handmade)",100gsm uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"10""","10"" x 7""",100gsm uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"10""","10"" x 7""",100gsm recycled uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"10""","10"" x 7""",100gsm FSC uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"10""","10"" x 7""",120gsm uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"10""","10"" x 7""",105gsm C2S,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"10""","10"" x 7""",80gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"10""","10"" x 7""",100gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"10""","10"" x 7""",120gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"11""","11"" x 8"" or (11.5 x 6.125 QR-09792)",100gsm uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"11""","11"" x 8"" or (11.5 x 6.125 QR-09792)",100gsm recycled uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"11""","11"" x 8"" or (11.5 x 6.125 QR-09792)",100gsm FSC uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"11""","11"" x 8"" or (11.5 x 6.125 QR-09792)",120gsm uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"11""","11"" x 8"" or (11.5 x 6.125 QR-09792)",80gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"11""","11"" x 8"" or (11.5 x 6.125 QR-09792)",100gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"11""","11"" x 8"" or (11.5 x 6.125 QR-09792)",120gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"11""","11"" x 8"" or (11.5 x 6.125 QR-09792)",105gsm C2S,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"11""","11"" x 8"" or (11.5 x 6.125 QR-09792)",128gsm C2S,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.5"" or 10""","9.5"" x 8.5"" or 10"" x 9"" or 8.86"" x 8.86""",100gsm uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.5"" or 10""","9.5"" x 8.5"" or 10"" x 9"" or 8.86"" x 8.86""",100gsm recycled uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.5"" or 10""","9.5"" x 8.5"" or 10"" x 9"" or 8.86"" x 8.86""",100gsm FSC uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"9.5"" or 10""","9.5"" x 8.5"" or 10"" x 9"" or 8.86"" x 8.86""",120gsm uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"12"" or 13""","12"" x 9"" or 13.5"" x 7.5"" or 9.5""x 9.5""",100gsm uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"12"" or 13""","12"" x 9"" or 13.5"" x 7.5"" or 9.5""x 9.5""",100gsm recycled uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"12"" or 13""","12"" x 9"" or 13.5"" x 7.5"" or 9.5""x 9.5""",100gsm FSC uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"12"" or 13""","12"" x 9"" or 13.5"" x 7.5"" or 9.5""x 9.5""",120gsm uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"12"" or 13""","12"" x 9"" or 13.5"" x 7.5"" or 9.5""x 9.5""",80gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"12"" or 13""","12"" x 9"" or 13.5"" x 7.5"" or 9.5""x 9.5""",100gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"12"" or 13""","12"" x 9"" or 13.5"" x 7.5"" or 9.5""x 9.5""",120gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"12"" or 13""","12"" x 9"" or 13.5"" x 7.5"" or 9.5""x 9.5""",115gsm C2S,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"13""","13"" x 10""",100gsm uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"13""","13"" x 10""",100gsm recycled uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"13""","13"" x 10""",100gsm FSC uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"13""","13"" x 10""",120gsm uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"13""","13"" x 10""",80gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"13""","13"" x 10""",100gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"13""","13"" x 10""",120gsm brown kraft ,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"14""","14"" x 11""",120gsm uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"15""","15"" x 12""",120gsm uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"15""","15"" x 12""",140gsm uncoated,"2c or 4c, closed face",-,-,-,,
Paper envelop OE,"15""","15"" x 12""",120gsm uncoated,"4c/1c, closed face",-,-,-,,
Expanded envelop OE,"10.75""","10.75"" x 12"" x 1.5""(gusset)",100gsm uncoated,"2c or 4c, closed face",-,-,-,,
Chipboard envelop OE,"15""","15"" x 12"" (OE style)",260gsm brown kraft,"2c or 4c, closed face, handmade",-,-,-,,
Chipboard envelop OE,"15""","15"" x 12"" (OE style)",190gsm C1S,"2c or 4c, closed face, handmade",-,-,-,,
Chipboard envelop OE,"10""","13.5"" x 10"" (OE style)",190gsm FSC C1S,"2c or 4c, closed face, handmade",-,-,-,,
Chipboard envelop OE,"10""","13.5"" x 10"" (OE style)",190gsm C1S,"2c or 4c, closed face, handmade",-,-,-,,
Chipboard envelop OE,"10""","13.5"" x 10"" (OE style)",210gsm C1S,"2c or 4c, closed face, handmade",-,-,-,,
Chipboard envelop OE,"10""","13.5"" x 10"" (OE style)",250gsm CCNB,"2c or 4c, closed face, handmade",-,-,-,,
Chipboard envelop OE,"10""","13.5"" x 10"" (OE style)",300gsm CCNB,"2c or 4c, closed face, handmade",-,-,-,,
Chipboard envelop OE,"10""","13.5"" x 10"" (OE style)",260gsm brown kraft,"2c or 4c, closed face, handmade",-,-,-,,
Chipboard envelop OE,"15""","15"" x 9"" (OE style)",250gsm C1S,"2c or 4c, closed face, handmade",-,-,-,,
Chipboard envelop OE,"12""","12"" x 9"" (OE style)",190gsm C1S,"2c or 4c, closed face, handmade",-,-,-,,
Chipboard envelop OE,"12""","12"" x 9"" (OE style)",300gsm CCNB,"2c or 4c, closed face",-,-,-,,
Chipboard envelop OE,11',"11"" x 8"" (OE style)",190gsm C1S,"2c or 4c, closed face ",-,-,-,,
Chipboard envelop OE,11',"11"" x 8"" (OE style)",190gsm C1S Recycle,"2c or 4c, closed face ",-,-,-,,
Chipboard envelop OE,11',"11"" x 8"" (OE style)",300gsm CCNB,"2c or 4c, closed face",-,-,-,,
Chipboard envelop OE,"10""","10"" x 6"" (OE style)",250gsm CCNB,"2c or 4c, closed face",-,-,-,,
Chipboard envelop OE,"10""","10"" x 6"" (OE style)",300gsm CCNB,"2c or 4c, closed face",-,-,-,,
Chipboard envelop OE,"10""","10"" x 6"" (OE style)",210gsm C1S,"2c or 4c, closed face",-,-,-,,
Chipboard envelop OE,"9.5""","9.5"" x 6"" (OE style)",190gsm C1S,"2c or 4c, closed face",-,-,-,,
Chipboard envelop OE,"9.5""","9.5"" x 6"" (OE style)",210gsm C1S,"2c or 4c, closed face",-,-,-,,
Chipboard envelop OE,"9.5""","9.5"" x 6"" (OE style)",230gsm C1S,"2c or 4c, closed face",-,-,-,,
Chipboard envelop OE,"9.5""","9.5"" x 6"" (OE style)",190gsm C1S FSC,"2c or 4c, closed face",-,-,-,,
Chipboard envelop OE,"9.5""","9.5"" x 6"" (OE style)",250gsm CCNB,"2c or 4c, closed face",-,-,-,,
Chipboard envelop OE,"9.5""","9.5"" x 6"" (OE style)",300gsm CCNB,"2c or 4c, closed face",-,-,-,,
Chipboard envelop OE,"9.5""","9.5"" x 6"" (OE style)",250gsm CCNB FSC,"2c or 4c, closed face ",-,-,-,,
Chipboard envelop OE,"9.5""","9.5"" x 6"" (OE style)",250gsm uncoated,"2c or 4c, closed face ",-,-,-,,
Chipboard envelop OE,"9.5""","9.5"" x 6"" (OE style)",250gsm CCNB,"2c or 4c, closed face ",-,-,-,,
Chipboard envelop OE,"7""","7"" x 5"" (OE style)",250gsm CCNB,"2c or 4c, closed face",-,-,-,,
Chipboard envelop OE,"7""","7"" x 5"" (OE style)",300gsm CCNB,"2c or 4c, closed face",-,-,-,,
Chipboard envelop OE,"7""","7"" x 5"" (OE style with 2 flap outside)",250gsm CCNB,"2c or 4c, closed face, handmade ",-,-,-,,
Chipboard envelop OE,"7""","7"" x 5"" (OE style with 2 flap outside)",300gsm CCNB,"2c or 4c, closed face, handmade ",-,-,-,,
Chipboard envelop CH,"12""","12"" x 15"" (CH style)",190gsm C1S,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"12""","12"" x 15"" (CH style)",250gsm CCNB,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"12""","12"" x 15"" (CH style)",300gsm CCNB,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"12""","12"" x 15"" (CH style)",260gsm brown kraft,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"10""","10"" x 13.5"" (CH style)",190gsm FSC C1S,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"10""","10"" x 13.5"" (CH style)",190gsm C1S,"2c or 4c, closed face, handmade",-,-,-,,
Chipboard envelop CH,"10""","10"" x 13.5"" (CH style)",210gsm C1S,"2c or 4c, closed face, handmade",-,-,-,,
Chipboard envelop CH,"10""","10"" x 13.5"" (CH style)",250gsm CCNB,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"10""","10"" x 13.5"" (CH style)",300gsm CCNB,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"10""","10"" x 13.5"" (CH style)",260gsm brown kraft,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"9""","9"" x 12"" or 7.5"" x 13.5"" (CH style)",190gsm C1S,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"9""","9"" x 12"" or 7.5"" x 13.5"" (CH style)",190gsm FSC C1S,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"9""","9"" x 12"" or 7.5"" x 13.5"" (CH style)",250gsm CCNB,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"9""","9"" x 12"" or 7.5"" x 13.5"" (CH style)",300gsm CCNB,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"9""","9"" x 12"" or 7.5"" x 13.5"" (CH style)",260gsm brown kraft,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"8""","8"" x 11"" (CH style)",190gsm C1S,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"8""","8"" x 11"" (CH style)",210gsm C1S,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"8""","8"" x 11"" (CH style)",190gsm C1S FSC ,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"8""","8"" x 11"" (CH style)",190gsm C1S Recycle,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"8""","8"" x 11"" (CH style)",250gsm CCNB,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"8""","8"" x 11"" (CH style)",300gsm CCNB,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"8""","8"" x 11"" (CH style)",250gsm CCWB,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"8""","8"" x 11"" (CH style)",260gsm brown kraft,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"7.5""","7.5"""" x 9.5"" (CH style)",190gsm C1S,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"7.5""","7.5"""" x 9.5"" (CH style)",210gsm C1S,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"7.5""","7.5"""" x 9.5"" (CH style)",250gsm CCNB,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"7.5""","7.5"""" x 9.5"" (CH style)",300gsm CCNB,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"6.25"" or 6""","6.25"" x 9.25"" or 6"" x 9"" (CH style)",190gsm C1S,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"6.25"" or 6""","6.25"" x 9.25"" or 6"" x 9"" (CH style)",210gsm C1S,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"6.25"" or 6""","6.25"" x 9.25"" or 6"" x 9"" (CH style)",230gsm C1S,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"6.25"" or 6""","6.25"" x 9.25"" or 6"" x 9"" (CH style)",250gsm C1S,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"6.25"" or 6""","6.25"" x 9.25"" or 6"" x 9"" (CH style)",250gsm CCNB,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"6.25"" or 6""","6.25"" x 9.25"" or 6"" x 9"" (CH style)",300gsm CCNB,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"6.25"" or 6""","6.25"" x 9.25"" or 6"" x 9"" (CH style)",250gsm WF,"2c or 4c, closed face ",-,-,-,,
Chipboard envelop CH,"6.25"" or 6""","6.25"" x 9.25"" or 6"" x 9"" (CH style)",250gsm CCNB FSC,"2c or 4c, closed face ",-,-,-,,
Chipboard envelop CH,"6.25"" or 6""","6.25"" x 9.25"" or 6"" x 9"" (CH style)",260gsm brown kraft,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"5.5""","5.5"" x 11"" *(CH style)",250gsm CCNB,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"5.5""","5.5"" x 11"" *(CH style)",300gsm CCNB,"2c or 4c, closed face ",-,-,-,,
Chipboard envelop CH,"5""","5"" x 7"" (CH style)",250gsm CCNB,"2c or 4c, closed face, handmade",-,-,-,,
Chipboard envelop CH,"5""","5"" x 7"" (CH style)",300gsm CCNB,"2c or 4c, closed face, handmade",-,-,-,,
Chipboard envelop CH,"4.5""","4.5"" x 9"" (CH style)",210gsm C1S,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"4.5""","4.5"" x 9"" (CH style)",230gsm C1S,"2c or 4c, closed face ",-,-,-,,
Chipboard envelop CH,"4.5""","4.5"" x 9"" (CH style)",250gsm CCNB,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"4.5""","4.5"" x 9"" (CH style)",300gsm CCNB,"2c or 4c, closed face ",-,-,-,,
Chipboard envelop CH,"4.5""","4.5"" x 9"" (CH style)",250gsm CCNB FSC,"2c or 4c, closed face ",-,-,-,,
Chipboard envelop CH,"8.86"" or  9.06""","8.86"" x 8.86"" (225x225mm) or 9.06"" x 9.06"" (230x230mm, QR-27401)",190gsm C1S,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"8.86"" or  9.06""","8.86"" x 8.86"" (225x225mm) or 9.06"" x 9.06"" (230x230mm, QR-27401)",210gsm C1S,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"8.86"" or  9.06""","8.86"" x 8.86"" (225x225mm) or 9.06"" x 9.06"" (230x230mm, QR-27401)",230gsm C1S,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"8.86"" or  9.06""","8.86"" x 8.86"" (225x225mm) or 9.06"" x 9.06"" (230x230mm, QR-27401)",250gsm C1S,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"8.86"" or  9.06""","8.86"" x 8.86"" (225x225mm) or 9.06"" x 9.06"" (230x230mm, QR-27401)",250gsm CCNB,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"8.86"" or  9.06""","8.86"" x 8.86"" (225x225mm) or 9.06"" x 9.06"" (230x230mm, QR-27401)",300gsm CCNB,"2c or 4c, closed face",-,-,-,,
Chipboard envelop CH,"8.86"" or  9.06""","8.86"" x 8.86"" (225x225mm) or 9.06"" x 9.06"" (230x230mm, QR-27401)",250gsm WF,"2c or 4c, closed face ",-,-,-,,
Chipboard envelop CH,"8.86"" or  9.06""","8.86"" x 8.86"" (225x225mm) or 9.06"" x 9.06"" (230x230mm, QR-27401)",250gsm CCNB FSC,"2c or 4c, closed face ",-,-,-,,
Chipboard envelop CH,"8.86"" or  9.06""","8.86"" x 8.86"" (225x225mm) or 9.06"" x 9.06"" (230x230mm, QR-27401)",260gsm brown kraft,"2c or 4c, closed face",-,-,-,,
Outer Box OB,-,"13"" x 9"" x 1""",400gsm CCNB,"2c or 4c, closed face, with printed paper tray",-,-,-,,
Outer Box OB,-,"13"" x 9"" x 1""",400gsm CCNB,"2c or 4c, closed face, with blank paper tray",-,-,-,,
Outer Box OB,-,"13"" x 9"" x 1""",400gsm CCNB,"2c or 4c, closed face, NO paper tray",-,-,-,,
Outer Box OB,-,"13"" x 9"" x 0.75""",400gsm CCNB,"2c or 4c, closed face, with printed paper tray",-,-,-,,
Outer Box OB,-,"13"" x 9"" x 0.75""",400gsm CCNB,"2c or 4c, closed face, with blank paper tray",-,-,-,,
Outer Box OB,-,"13"" x 9"" x 0.75""",400gsm CCNB,"2c or 4c, closed face, NO paper tray",-,-,-,,
Outer Box OB,-,"13"" x 9"" x 0.5""",400gsm CCNB,"2c or 4c, closed face, with printed paper tray",-,-,-,,
Outer Box OB,-,"13"" x 9"" x 0.5""",400gsm CCNB,"2c or 4c, closed face, with blank paper tray",-,-,-,,
Outer Box OB,-,"13"" x 9"" x 0.5""",400gsm CCNB,"2c or 4c, closed face, NO paper tray",-,-,-,,
Outer Box OB,-,"11.5"" x 8.5"" x 1""",400gsm CCNB,"2c or 4c, closed face, with printed paper tray",-,-,-,,
Outer Box OB,-,"11.5"" x 8.5"" x 1""",400gsm CCNB,"2c or 4c, closed face, with blank paper tray",-,-,-,,
Outer Box OB,-,"11.5"" x 8.5"" x 1""",400gsm CCNB,"2c or 4c, closed face, NO paper tray",-,-,-,,
Outer Box OB,-,"11.5"" x 8.5"" x 0.75""",400gsm CCNB,"2c or 4c, closed face, with printed paper tray",-,-,-,,
Outer Box OB,-,"11.5"" x 8.5"" x 0.75""",400gsm CCNB,"2c or 4c, closed face, with blank paper tray",-,-,-,,
Outer Box OB,-,"11.5"" x 8.5"" x 0.75""",400gsm CCNB,"2c or 4c, closed face, NO paper tray",-,-,-,,
Outer Box OB,-,"11.5"" x 8.5"" x 0.5""",400gsm CCNB,"2c or 4c, closed face, with printed paper tray",-,-,-,,
Outer Box OB,-,"11.5"" x 8.5"" x 0.5""",400gsm CCNB,"2c or 4c, closed face, with blank paper tray",-,-,-,,
Outer Box OB,-,"11.5"" x 8.5"" x 0.5""",400gsm CCNB,"2c or 4c, closed face, NO paper tray",-,-,-,,
Outer Box OB,-,"10.5"" x 4.5"" x 1""",400gsm CCNB,"2c or 4c, closed face, with printed paper tray",-,-,-,,
Outer Box OB,-,"10.5"" x 4.5"" x 1""",400gsm CCNB,"2c or 4c, closed face, with blank paper tray",-,-,-,,
